Realtidsbalansrapport ;""
Kundnamn: Brf Strandparken Kungsholmen;""
Organisationsnummer: 716420-4682;""
"";""
"";"Ingående balans
(2012-01-01)
";"2012-01-01 - 2012-12-31";"Utgående balans
(2012-12-31)"
"1730 Förutbet försäkr premier";"14 789";"33 571";"48 360"
"1790 Övr förutb kostn uppl int";"200 864";"-8 331";"192 533"
"Summa Förutbetalda kostnader och upplupna intäkter";"215 653";"25 240";"240 893"
"Summa kortfristiga fordringar";"439 916";"-671 898";"-231 982"
"KASSA OCH BANK";"";"";""
"1910 Kassa";"707";"0";"707"
"1930 Checkräkning";"2 509 480";"-392 061";"2 117 419"
"1980 Valutakonto";"0";"-1 100";"-1 100"
"Summa kassa och bank";"2 510 186";"-393 161";"2 117 026"
"Summa Omsättningstillgångar";"2 950 103";"-1 065 059";"1 885 044"
"Summa Tillgångar";"106 173 886";"-1 173 698";"105 000 188"
"EGET KAPITAL OCH SKULDER";"";"";""
"EGET KAPITAL";"";"";""
"BUNDET EGET KAPITAL";"";"";""
"MEDLEMSINSATSER";"";"";""
"2083 Insatser";"-44 628 132";"0";"-44 628 132"
"2087 Upplåtelseavgifter";"-954 155";"0";"-954 155"
"2089 Egna bostadsrätter";"-3 027 077";"-297 404";"-3 324 481"
"Summa Medlemsinsatser";"-48 609 364";"-297 404";"-48 906 768"
"Summa bundet eget kapital";"-48 609 364";"-297 404";"-48 906 768"
"FRITT EGET KAPITAL";"";"";""
"BALANSERAD VINST/FÖRLUST";"";"";""
"2091 Balanserad vinst/förlust";"-4 530 061";"297 404";"-4 232 657"
"Summa Balanserad vinst/förlust";"-4 530 061";"297 404";"-4 232 657"
"ÅRETS VINST/FÖRLUST";"";"";""
"2099 Årets resultat";"-797 726";"55 816";"-741 910"
"Summa Årets vinst/förlust";"-797 726";"55 816";"-741 910"
"Summa fritt eget kapital";"-5 327 787";"353 220";"-4 974 567"
"LÅNGFRISTIGA SKULDER";"";"";""
"SKULDER TILL KREDITINSTITUT";"";"";""
"2351 Fastighetslån";"-52 354 827";"2 913 715";"-49 441 112"
"Summa Skulder till kreditinstitut";"-52 354 827";"2 913 715";"-49 441 112"
"ÖVRIGA LÅNGFRISTIGA SKULDER";"";"";""
"2397 Mottagna depositioner";"-32 378";"0";"-32 378"
"Summa Övriga långfristiga skulder";"-32 378";"0";"-32 378"
"Summa långfristiga skulder";"-52 387 205";"2 913 715";"-49 473 490"
"KORTFRISTIGA SKULDER";"";"";""
"LEVERANTÖRSSKULDER";"";"";""
"2410 Använd ej, gammalt konto";"1 116 000";"-1 116 000";"0"
"2440 Leverantörsskulder";"-658 744";"-596 657";"-1 255 401"
"Summa Leverantörsskulder";"457 256";"-1 712 657";"-1 255 401"
"SKATTESKULDER";"";"";""
"2510 Fastställd skatt";"-310 224";"200 964";"-109 260"
"2513 Beräknad fastighetsskatt";"0";"-54 630";"-54 630"
"2518 Betald preliminärskatt";"465 552";"-232 776";"232 776"
"Summa Skatteskulder";"155 328";"-86 442";"68 886"
"ÖVRIGA KORTFRISTIGA SKULDER";"";"";""
"2650 Redovisningskonto moms";"-13 100";"-6 550";"-19 650"
"Summa Övriga kortfristiga skulder";"-13 100";"-6 550";"-19 650"
"UPPLUPNA KOSTNADER OCH FÖRUTBETALDA INTÄKTER";"";"";""
"2960 Uppl. utgiftsräntor";"-372 624";"372 624";"0"
"2970 Förutbet hyror/avgifter";"-482 635";"482 635";"0"
"2990 Övriga uppl kostn";"431 245";"-431 245";"0"
"2992 Beräkn arvode revision";"-25 000";"25 000";"0"
"Summa Upplupna kostnader och förutbetalda intäkter";"-449 014";"449 014";"0"
"Summa kortfristiga skulder";"150 470";"-1 356 635";"-1 206 165"
"Summa Eget kapital och skulder";"-106 173 886";"1 612 896";"-104 560 990"
"Kapitalförändring";"0";"439 198";"439 198"
