Realtidsbalansrapport ;""
Kundnamn: Brf Strandparken Kungsholmen;""
Organisationsnummer: 716420-4682;""
"";""
"";"Ingående balans
(2019-01-01)
";"2019-01-01 - 2019-12-31";"Utgående balans
(2019-12-31)"
"1711 Förbet tomträtt";"0";"219 575";"219 575"
"1712 Förbet bredband";"0";"28 130";"28 130"
"1713 Förbet förvaltning";"0";"50 669";"50 669"
"1730 Förutbet försäkr premier";"35 361";"43 141";"78 501"
"1790 Övr förutb kostn uppl int";"319 807";"-319 807";"0"
"Summa Förutbetalda kostnader och upplupna intäkter";"355 168";"54 761";"409 928"
"Summa kortfristiga fordringar";"-551 427";"1 023 278";"471 850"
"KASSA OCH BANK";"";"";""
"1910 Kassa";"283";"5 541";"5 824"
"1930 Checkräkning";"4 400 805";"-1 373 749";"3 027 056"
"1985 Nabo Klientmedelskonto";"0";"1 753 857";"1 753 857"
"Summa kassa och bank";"4 401 088";"385 649";"4 786 737"
"Summa Omsättningstillgångar";"3 849 661";"1 408 927";"5 258 588"
"Summa Tillgångar";"101 441 211";"52 896";"101 494 107"
"EGET KAPITAL OCH SKULDER";"";"";""
"EGET KAPITAL";"";"";""
"BUNDET EGET KAPITAL";"";"";""
"MEDLEMSINSATSER";"";"";""
"2083 Insatser";"-44 628 132";"0";"-44 628 132"
"2087 Upplåtelseavgifter";"-954 155";"0";"-954 155"
"Summa Medlemsinsatser";"-45 582 287";"0";"-45 582 287"
"YTTRE FOND";"";"";""
"2084 Yttre fond";"-6 769 641";"-584 749";"-7 354 390"
"Summa Yttre fond";"-6 769 641";"-584 749";"-7 354 390"
"Summa bundet eget kapital";"-52 351 928";"-584 749";"-52 936 677"
"FRITT EGET KAPITAL";"";"";""
"BALANSERAD VINST/FÖRLUST";"";"";""
"2091 Balanserad vinst/förlust";"-4 693 407";"273 564";"-4 419 843"
"Summa Balanserad vinst/förlust";"-4 693 407";"273 564";"-4 419 843"
"ÅRETS VINST/FÖRLUST";"";"";""
"2099 Årets resultat";"-311 185";"-27 600";"-338 785"
"Summa Årets vinst/förlust";"-311 185";"-27 600";"-338 785"
"Summa fritt eget kapital";"-5 004 592";"245 964";"-4 758 629"
"LÅNGFRISTIGA SKULDER";"";"";""
"SKULDER TILL KREDITINSTITUT";"";"";""
"2351 Fastighetslån";"-42 830 730";"578 000";"-42 252 730"
"2352 Kort del av lång skuld";"300";"741 780";"742 080"
"Summa Skulder till kreditinstitut";"-42 830 430";"1 319 780";"-41 510 650"
"Summa långfristiga skulder";"-42 830 430";"1 319 780";"-41 510 650"
"KORTFRISTIGA SKULDER";"";"";""
"LEVERANTÖRSSKULDER";"";"";""
"2440 Leverantörsskulder";"-821 464";"486 865";"-334 599"
"2441 Ej betalda amorteringar";"0";"45 370";"45 370"
"Summa Leverantörsskulder";"-821 464";"532 235";"-289 229"
"SKULDER TILL KREDITINSTITUT";"";"";""
"2417 Kort del av lång skuld";"-152 790";"-589 290";"-742 080"
"Summa Skulder till kreditinstitut";"-152 790";"-589 290";"-742 080"
"SKATTESKULDER";"";"";""
"2510 Fastställd skatt";"-32 520";"-137 559";"-170 079"
"2513 Beräknad fastighetsskatt";"594 371";"-594 371";"0"
"2518 Betald preliminärskatt";"-567 178";"652 359";"85 181"
"Summa Skatteskulder";"-5 327";"-79 571";"-84 898"
"ÖVRIGA KORTFRISTIGA SKULDER";"";"";""
"2650 Redovisningskonto moms";"-21 300";"-1 150";"-22 450"
"2710 Personalens källskatt";"-10 860";"0";"-10 860"
"2730 Lagstadg soc avg lönesk";"-11 000";"1";"-10 999"
"2810 Avräkningskonto, eko. förvaltning";"0";"180";"180"
"2818 Avräkning";"0";"-1 395";"-1 395"
"2890 Övriga korta skulder";"-700";"700";"0"
"Summa Övriga kortfristiga skulder";"-43 860";"-1 664";"-45 524"
"UPPLUPNA KOSTNADER OCH FÖRUTBETALDA INTÄKTER";"";"";""
"2900 Uppl kostn och förutb int";"0";"-14 736";"-14 736"
"2902 Uppkost städ";"0";"-9 769";"-9 769"
"2903 Uppkost el";"0";"-23 940";"-23 940"
"2904 Uppkost fjärrvärme";"0";"-68 362";"-68 362"
"2909 Uppkost vatten";"0";"-17 464";"-17 464"
"2970 Förutbet hyror/avgifter";"0";"-810 578";"-810 578"
"2990 Övriga uppl kostn";"-36 200";"0";"-36 200"
"2992 Beräkn arvode revision";"-38 000";"0";"-38 000"
"Summa Upplupna kostnader och förutbetalda intäkter";"-74 200";"-944 849";"-1 019 049"
"Summa kortfristiga skulder";"-1 097 641";"-1 083 139";"-2 180 780"
"Summa Eget kapital och skulder";"-101 284 591";"-102 145";"-101 386 736"
"Kapitalförändring";"156 620";"-49 249";"107 371"
