Realtidsbalansrapport ;""
Kundnamn: Brf Strandparken Kungsholmen;""
Organisationsnummer: 716420-4682;""
"";""
"";"Ingående balans
(2022-01-01)
";"2022-01-01 - 2022-12-31";"Utgående balans
(2022-12-31)"
"1711 Förbet tomträtt";"219 575";"0";"219 575"
"1712 Förbet bredband";"25 230";"2 738";"27 968"
"1713 Förbet förvaltning";"26 787";"2 772";"29 559"
"Summa Förutbetalda kostnader och upplupna intäkter";"343 955";"115";"344 070"
"Summa kortfristiga fordringar";"546 637";"93 116";"639 753"
"KASSA OCH BANK";"";"";""
"1930 Checkräkning";"0";"35 459";"35 459"
"1985 Nabo Klientmedelskonto";"624 062";"691 333";"1 315 395"
"1986 Borgo";"0";"761 347";"761 347"
"Summa kassa och bank";"624 062";"1 488 139";"2 112 201"
"Summa Omsättningstillgångar";"1 170 699";"1 581 255";"2 751 954"
"Summa Tillgångar";"101 291 979";"-592 012";"100 699 966"
"EGET KAPITAL OCH SKULDER";"";"";""
"EGET KAPITAL";"";"";""
"BUNDET EGET KAPITAL";"";"";""
"MEDLEMSINSATSER";"";"";""
"2083 Insatser";"-44 628 132";"0";"-44 628 132"
"2087 Upplåtelseavgifter";"-954 155";"0";"-954 155"
"Summa Medlemsinsatser";"-45 582 287";"0";"-45 582 287"
"YTTRE FOND";"";"";""
"2084 Yttre fond";"-8 014 284";"-232 165";"-8 246 449"
"Summa Yttre fond";"-8 014 284";"-232 165";"-8 246 449"
"Summa bundet eget kapital";"-53 596 571";"-232 165";"-53 828 736"
"FRITT EGET KAPITAL";"";"";""
"BALANSERAD VINST/FÖRLUST";"";"";""
"2091 Balanserad vinst/förlust";"-4 318 847";"683 838";"-3 635 009"
"Summa Balanserad vinst/förlust";"-4 318 847";"683 838";"-3 635 009"
"ÅRETS VINST/FÖRLUST";"";"";""
"2099 Årets resultat";"451 673";"587 092";"1 038 765"
"Summa Årets vinst/förlust";"451 673";"587 092";"1 038 765"
"Summa fritt eget kapital";"-3 867 174";"1 270 930";"-2 596 244"
"LÅNGFRISTIGA SKULDER";"";"";""
"SKULDER TILL KREDITINSTITUT";"";"";""
"2351 Fastighetslån";"-41 901 360";"-835 000";"-42 736 360"
"2352 Kort del av lång skuld";"8 362 000";"3 806 000";"12 168 000"
"Summa Skulder till kreditinstitut";"-33 539 360";"2 971 000";"-30 568 360"
"Summa långfristiga skulder";"-33 539 360";"2 971 000";"-30 568 360"
"KORTFRISTIGA SKULDER";"";"";""
"LEVERANTÖRSSKULDER";"";"";""
"2440 Leverantörsskulder";"-1 112 041";"402 718";"-709 324"
"2441 Ej betalda amorteringar";"45 370";"-45 370";"0"
"2480 Utläggsskulder";"-3 356";"3 356";"0"
"Summa Leverantörsskulder";"-1 070 027";"360 704";"-709 324"
"SKULDER TILL KREDITINSTITUT";"";"";""
"2417 Kort del av lång skuld";"-8 362 000";"-3 806 000";"-12 168 000"
"Summa Skulder till kreditinstitut";"-8 362 000";"-3 806 000";"-12 168 000"
"SKATTESKULDER";"";"";""
"2510 Fastställd skatt";"-170 079";"170 079";"0"
"2511 Deklarerad skatt";"0";"-453 283";"-453 283"
"2513 Beräknad fastighetsskatt";"-134 749";"-1 100";"-135 849"
"2518 Betald preliminärskatt";"147 354";"664 272";"811 626"
"Summa Skatteskulder";"-157 474";"379 968";"222 494"
"ÖVRIGA KORTFRISTIGA SKULDER";"";"";""
"2650 Redovisningskonto moms";"-21 750";"-5 997";"-27 747"
"2710 Personalens källskatt";"-10 860";"10 860";"0"
"2730 Lagstadg soc avg lönesk";"-10 997";"10 997";"0"
"2810 Avräkningskonto, eko. förvaltning";"456";"-1 108";"-652"
"Summa Övriga kortfristiga skulder";"-43 151";"14 752";"-28 399"
"UPPLUPNA KOSTNADER OCH FÖRUTBETALDA INTÄKTER";"";"";""
"2900 Uppl kostn och förutb int";"-19 263";"-2 005";"-21 268"
"2902 Uppkost städ";"-10 264";"-82";"-10 346"
"2903 Uppkost el";"-56 376";"24 563";"-31 813"
"2904 Uppkost fjärrvärme";"-85 769";"926";"-84 843"
"2908 Uppkost räntor";"-3 244";"-8 198";"-11 442"
"2909 Uppkost vatten";"-19 625";"-4 031";"-23 656"
"2910 Uppkost löner";"-36 200";"0";"-36 200"
"2960 Uppl. utgiftsräntor";"-24 957";"24 562";"-395"
"2970 Förutbet hyror/avgifter";"-825 642";"-52 608";"-878 250"
"2992 Beräkn arvode revision";"-38 000";"0";"-38 000"
"Summa Upplupna kostnader och förutbetalda intäkter";"-1 119 340";"-16 873";"-1 136 213"
"Summa kortfristiga skulder";"-10 751 992";"-3 067 450";"-13 819 442"
"Summa Eget kapital och skulder";"-101 755 097";"942 315";"-100 812 781"
"Kapitalförändring";"-463 118";"350 303";"-112 815"
