Realtidsbalansrapport ;""
Kundnamn: Brf Strandparken Kungsholmen;""
Organisationsnummer: 716420-4682;""
"";""
"";"Ingående balans
(2021-01-01)
";"2021-01-01 - 2021-12-31";"Utgående balans
(2021-12-31)"
"1712 Förbet bredband";"25 230";"0";"25 230"
"1713 Förbet förvaltning";"0";"26 787";"26 787"
"Summa Förutbetalda kostnader och upplupna intäkter";"316 448";"27 507";"343 955"
"Summa kortfristiga fordringar";"324 867";"221 770";"546 637"
"KASSA OCH BANK";"";"";""
"1910 Kassa";"-601";"601";"0"
"1930 Checkräkning";"3 013 339";"-3 013 339";"0"
"1985 Nabo Klientmedelskonto";"2 809 785";"-2 185 723";"624 062"
"Summa kassa och bank";"5 822 523";"-5 198 462";"624 062"
"Summa Omsättningstillgångar";"6 147 390";"-4 976 692";"1 170 699"
"Summa Tillgångar";"104 012 148";"-2 720 169";"101 291 979"
"EGET KAPITAL OCH SKULDER";"";"";""
"EGET KAPITAL";"";"";""
"BUNDET EGET KAPITAL";"";"";""
"MEDLEMSINSATSER";"";"";""
"2083 Insatser";"-44 628 132";"0";"-44 628 132"
"2087 Upplåtelseavgifter";"-954 155";"0";"-954 155"
"Summa Medlemsinsatser";"-45 582 287";"0";"-45 582 287"
"YTTRE FOND";"";"";""
"2084 Yttre fond";"-7 929 356";"-84 928";"-8 014 284"
"Summa Yttre fond";"-7 929 356";"-84 928";"-8 014 284"
"Summa bundet eget kapital";"-53 511 643";"-84 928";"-53 596 571"
"FRITT EGET KAPITAL";"";"";""
"BALANSERAD VINST/FÖRLUST";"";"";""
"2091 Balanserad vinst/förlust";"-4 183 663";"-135 184";"-4 318 847"
"Summa Balanserad vinst/förlust";"-4 183 663";"-135 184";"-4 318 847"
"ÅRETS VINST/FÖRLUST";"";"";""
"2099 Årets resultat";"-220 112";"671 785";"451 673"
"Summa Årets vinst/förlust";"-220 112";"671 785";"451 673"
"Summa fritt eget kapital";"-4 403 775";"536 601";"-3 867 174"
"LÅNGFRISTIGA SKULDER";"";"";""
"SKULDER TILL KREDITINSTITUT";"";"";""
"2351 Fastighetslån";"-42 048 360";"147 000";"-41 901 360"
"2352 Kort del av lång skuld";"132 000";"8 230 000";"8 362 000"
"Summa Skulder till kreditinstitut";"-41 916 360";"8 377 000";"-33 539 360"
"Summa långfristiga skulder";"-41 916 360";"8 377 000";"-33 539 360"
"KORTFRISTIGA SKULDER";"";"";""
"LEVERANTÖRSSKULDER";"";"";""
"2440 Leverantörsskulder";"-322 042";"-790 000";"-1 112 041"
"2441 Ej betalda amorteringar";"45 370";"0";"45 370"
"2480 Utläggsskulder";"0";"-3 356";"-3 356"
"Summa Leverantörsskulder";"-276 672";"-793 356";"-1 070 027"
"SKULDER TILL KREDITINSTITUT";"";"";""
"2417 Kort del av lång skuld";"-132 000";"-8 230 000";"-8 362 000"
"Summa Skulder till kreditinstitut";"-132 000";"-8 230 000";"-8 362 000"
"SKATTESKULDER";"";"";""
"2510 Fastställd skatt";"-170 079";"0";"-170 079"
"2513 Beräknad fastighetsskatt";"-134 195";"-554";"-134 749"
"2518 Betald preliminärskatt";"146 568";"786";"147 354"
"Summa Skatteskulder";"-157 706";"232";"-157 474"
"ÖVRIGA KORTFRISTIGA SKULDER";"";"";""
"2650 Redovisningskonto moms";"-24 450";"2 700";"-21 750"
"2710 Personalens källskatt";"-10 860";"0";"-10 860"
"2730 Lagstadg soc avg lönesk";"-10 999";"2";"-10 997"
"2810 Avräkningskonto, eko. förvaltning";"-180";"636";"456"
"Summa Övriga kortfristiga skulder";"-46 489";"3 338";"-43 151"
"UPPLUPNA KOSTNADER OCH FÖRUTBETALDA INTÄKTER";"";"";""
"2900 Uppl kostn och förutb int";"-16 376";"-2 887";"-19 263"
"2902 Uppkost städ";"-9 984";"-280";"-10 264"
"2903 Uppkost el";"-23 562";"-32 814";"-56 376"
"2904 Uppkost fjärrvärme";"-74 255";"-11 514";"-85 769"
"2908 Uppkost räntor";"0";"-3 244";"-3 244"
"2909 Uppkost vatten";"-18 306";"-1 319";"-19 625"
"2910 Uppkost löner";"-36 200";"0";"-36 200"
"2960 Uppl. utgiftsräntor";"-41 634";"16 677";"-24 957"
"2970 Förutbet hyror/avgifter";"-815 928";"-9 714";"-825 642"
"2992 Beräkn arvode revision";"-38 000";"0";"-38 000"
"Summa Upplupna kostnader och förutbetalda intäkter";"-1 074 245";"-45 095";"-1 119 340"
"Summa kortfristiga skulder";"-1 687 112";"-9 064 881";"-10 751 992"
"Summa Eget kapital och skulder";"-101 518 889";"-236 207";"-101 755 097"
"Kapitalförändring";"2 493 259";"-2 956 377";"-463 118"
