Realtidsresultatrapport ;""
Kundnamn: Brf Strandparken Kungsholmen;""
Organisationsnummer: 716420-4682;""
"Summa Övriga driftskostnader";"-1 131 927";"-997 452"
"FASTIGHETSSKATT";"";""
"4800 Fastighetsskatt";"-232 969";"-213 114"
"Summa Fastighetsskatt";"-232 969";"-213 114"
"Summa driftkostnader";"-3 219 782";"-3 137 140"
"ÖVRIGA EXTERNA KOSTNADER";"";""
"FÖRBRUKNINGSINVENTARIER OCH FÖRBRUKNINGSMATERIAL";"";""
"5410 Förbrukningsinventarier";"0";"-37 838"
"Summa Förbrukningsinventarier och förbrukningsmaterial";"0";"-37 838"
"TELE OCH POST";"";""
"6210 Telekommunikation";"-4 665";"-4 776"
"Summa Tele och post";"-4 665";"-4 776"
"FÖRVALTNINGSKOSTNADER";"";""
"6420 Revisionsarvoden";"-35 688";"-38 838"
"6480 Arvode ekonomisk förvaltning";"-301 568";"-215 959"
"6482 Extradebitering förvaltn.";"-6 966";"-14 346"
"6490 Övr förvaltningskostnader";"-27 846";"-31 320"
"Summa Förvaltningskostnader";"-372 068";"-300 463"
"ÖVRIGA EXTERNA TJÄNSTER";"";""
"6540 It-tjänster";"-750";"0"
"6550 Konsultkostnader";"-1 988";"0"
"6570 Bankkostnader";"-3 751";"-3 550"
"6580 Advokat/rätteg kostn";"-181 046";"-96 344"
"Summa Övriga externa tjänster";"-187 535";"-99 894"
"ÖVRIGA EXTERNA KOSTNADER";"";""
"6980 Medlems- & föreningsavg";"-5 800";"-5 800"
"6990 Övriga externa kostnader";"-1 695";"-1 110"
"Summa Övriga externa kostnader";"-7 495";"-6 910"
"Summa övriga externa kostnader";"-571 763";"-449 881"
"PERSONALKOSTNADER";"";""
"ARVODEN";"";""
"6410 Styrelsearvoden";"-88 000";"-88 000"
"6411 Övriga arvoden";"-3 000";"-3 000"
"Summa Arvoden";"-91 000";"-91 000"
"SOCIALA OCH ANDRA AVGIFTER ENLIGT LAG OCH AVTAL";"";""
"7510 Lagstadgade arb giv avg";"-26 336";"-22 930"
"Summa Sociala och andra avgifter enligt lag och avtal";"-26 336";"-22 930"
"Summa personalkostnader";"-117 336";"-113 930"
"Resultat före Avskrivningar";"2 159 372";"2 303 761"
"AVSKRIVNINGAR";"";""
"7821 Avskrivn byggnader";"-1 220 681";"-1 220 575"
"7822 Avskrivning fast. förbätr";"-5 677";"-4 759"
"Summa avskrivningar";"-1 226 358";"-1 225 333"
"Summa Rörelsekostnader";"-5 135 239";"-4 926 284"
"Rörelseresultat";"933 014";"1 078 428"
"FINANSIELLA POSTER";"";""
"RÄNTEKOSTNADER OCH LIKNANDE RESULTATPOSTER";"";""
"8410 Låneräntor";"-529 858";"-621 433"
"8423 Kostn.ränta, skatt";"0";"-169"
"Summa räntekostnader och liknande resultatposter";"-529 858";"-621 602"
"Resultat efter finansiella poster";"403 156";"456 826"
"Årets resultat";"403 156";"456 826"
