Realtidsresultatrapport ;""
Kundnamn: Brf Strandparken Kungsholmen;""
Organisationsnummer: 716420-4682;""
"ARVODEN";"";""
"6410 Styrelsearvoden";"-80 300";"0"
"6411 Övriga arvoden";"-3 000";"0"
"Summa Arvoden";"-83 300";"0"
"SOCIALA OCH ANDRA AVGIFTER ENLIGT LAG OCH AVTAL";"";""
"7510 Lagstadgade arb giv avg";"-17 793";"0"
"Summa Sociala och andra avgifter enligt lag och avtal";"-17 793";"0"
"Summa personalkostnader";"-101 093";"0"
"Resultat före Avskrivningar";"2 858 773";"1 038 504"
"AVSKRIVNINGAR";"";""
"7821 Avskrivn byggnader";"-329 176";"-108 639"
"7822 Avskrivning fast. förbätr";"-6 425";"0"
"Summa avskrivningar";"-335 601";"-108 639"
"Summa Rörelsekostnader";"-3 303 216";"-1 008 203"
"Rörelseresultat";"2 523 172";"929 865"
"FINANSIELLA POSTER";"";""
"RÄNTEINTÄKTER OCH LIKNANDE RESULTATPOSTER";"";""
"8311 Ränteint fr bank";"6 966";"24 199"
"8312 Ränteint fr kortfr placer";"2 150";"2 500"
"8314 Skattefria ränteintäkter";"2";"1 185"
"Summa ränteintäkter och liknande resultatposter";"9 118";"27 884"
"RÄNTEKOSTNADER OCH LIKNANDE RESULTATPOSTER";"";""
"8410 Låneräntor";"-1 529 442";"-624 951"
"8422 Dröjsmålsränta";"-1 007";"-1 125"
"8423 Kostn.ränta, skatt";"1";"0"
"Summa räntekostnader och liknande resultatposter";"-1 530 448";"-626 076"
"Resultat efter finansiella poster";"1 001 842";"331 673"
"SKATT";"";""
"8910 Skatt";"-19 398";"51 709"
"Summa skatt";"-19 398";"51 709"
"Årets resultat";"982 444";"383 382"
